Date,Actual_Price,Linear_Regression,Random_Forest,Gradient_Boosting,ARIMA
2018-04-21,889558.0,856771.1549326582,495376.23,393104.2432109207,434849.2796850483
2018-04-22,880246.0,860467.7052824558,495474.95,392812.5187601453,434850.74129303964
2018-04-23,893088.0,885404.3485994333,516897.13,426626.9103483275,434849.38463577227
2018-04-24,96975.0,728549.2058752141,507402.19,425791.27039787266,434850.64387829974
2018-04-25,884574.0,928792.6636239989,599965.4,661998.7523652202,434849.4750556493
2018-04-26,928151.0,766165.2053696607,502156.16,438416.31821285933,434850.55995101965
2018-04-27,898705.0,745737.5659458596,501899.21,438314.7667939882,434849.55295653327
2018-04-28,934848.0,754578.8564299607,483988.85,374253.57519308466,434850.4876438067
2018-04-29,941908.0,779398.9188901908,496337.66,437643.72981623973,434849.6200717287
2018-04-30,924055.0,781249.3330368642,512232.47,471181.22898570885,434850.42534781614
2018-05-01,911901.0,1047157.0610465844,541126.13,382725.8226817816,434849.6778945573
2018-05-02,923592.0,928623.84898616,391295.48,237600.44210201793,434850.37167695427
2018-05-03,974386.0,1001757.2878487058,502011.41,393227.3882529021,434849.7277115843
2018-05-04,970076.0,930014.7197158166,394572.49,269468.78185779,434850.32543703757
2018-05-05,985815.0,983800.3335072836,484754.49,393029.7266861797,434849.770631245
2018-05-06,96548.0,803000.0532976312,499434.59,392911.8454202997,434850.285599222
2018-05-07,937301.0,1051130.6096614304,619133.75,685795.4776559069,434849.8076085072
2018-05-08,923482.0,819312.1459715916,507003.95,425703.4457630036,434850.2512771111
2018-05-09,932518.0,825141.4620255341,507003.95,425703.4457630036,434849.8394661198
2018-05-10,904394.0,798826.8886954192,501502.86,393135.09245054796,434850.2217070336
2018-05-11,844149.0,772469.1692805407,503369.11,393226.23851653724,434849.86691291875
2018-05-12,850489.0,858097.2388855936,420978.49,141771.60723662536,434850.1962310514
2018-05-13,872394.0,1032022.9152655308,527595.76,349887.05802583747,434849.89055959875
2018-05-14,871679.0,877156.4765445008,397520.37,302627.95607795264,434850.17428232066
2018-05-15,851038.0,901741.0940270273,505904.21,425694.92165544245,434849.9109323014
2018-05-16,836883.0,883015.0614328765,505834.25,425694.92165544245,434850.15537247935
2018-05-17,809432.0,865600.9354719833,500593.95,393126.5683429868,434849.92848432204
2018-05-18,825097.0,878036.2643548416,500906.63,393121.36566654587,434850.1390807811
2018-05-19,824718.0,867527.8091009818,500862.95,393616.13802588504,434849.94360619533
2018-05-20,851325.0,864988.2322435519,495591.62,392812.5187601453,434850.1250447335
2018-05-21,841899.0,852061.10159432,516897.13,426626.9103483275,434849.9566343849
2018-05-22,804178.0,841657.0756358359,506080.84,425694.92165544245,434850.1129520328
2018-05-23,755782.0,827178.5919190419,507402.19,425791.27039787266,434849.9678587695
2018-05-24,758734.0,807157.8012191114,466209.5,328414.8062243742,434850.1025336148
2018-05-25,748014.0,809376.2124224206,384648.38,269434.26898040116,434849.9775290933
